DateKey;CalendarYear;CalendarHalfYearLabel;CalendarQuarterLabel;CalendarMonth;CalendarMonthLabel;CalendarWeekLabel;CalendarDayOfWeekLabel;IsWorkDay;Start of Week;End of Week
2008-01-01 00:00:00,000;2008;"H1";"Q1";200801;"January";"Week 1";"Tuesday";"WorkDay";2007-12-30 00:00:00,000;2008-01-06 00:00:00,000
2008-01-02 00:00:00,000;2008;"H1";"Q1";200801;"January";"Week 1";"Wednesday";"WorkDay";2007-12-30 00:00:00,000;2008-01-06 00:00:00,000
2008-01-03 00:00:00,000;2008;"H1";"Q1";200801;"January";"Week 1";"Thursday";"WorkDay";2007-12-30 00:00:00,000;2008-01-06 00:00:00,000
2008-01-04 00:00:00,000;2008;"H1";"Q1";200801;"January";"Week 1";"Friday";"WorkDay";2007-12-30 00:00:00,000;2008-01-06 00:00:00,000
2008-01-07 00:00:00,000;2008;"H1";"Q1";200801;"January";"Week 2";"Monday";"WorkDay";2008-01-06 00:00:00,000;2008-01-13 00:00:00,000
2008-01-08 00:00:00,000;2008;"H1";"Q1";200801;"January";"Week 2";"Tuesday";"WorkDay";2008-01-06 00:00:00,000;2008-01-13 00:00:00,000
2008-01-09 00:00:00,000;2008;"H1";"Q1";200801;"January";"Week 2";"Wednesday";"WorkDay";2008-01-06 00:00:00,000;2008-01-13 00:00:00,000
2008-01-10 00:00:00,000;2008;"H1";"Q1";200801;"January";"Week 2";"Thursday";"WorkDay";2008-01-06 00:00:00,000;2008-01-13 00:00:00,000
2008-01-11 00:00:00,000;2008;"H1";"Q1";200801;"January";"Week 2";"Friday";"WorkDay";2008-01-06 00:00:00,000;2008-01-13 00:00:00,000
2008-01-14 00:00:00,000;2008;"H1";"Q1";200801;"January";"Week 3";"Monday";"WorkDay";2008-01-13 00:00:00,000;2008-01-20 00:00:00,000
2008-01-15 00:00:00,000;2008;"H1";"Q1";200801;"January";"Week 3";"Tuesday";"WorkDay";2008-01-13 00:00:00,000;2008-01-20 00:00:00,000
2008-01-16 00:00:00,000;2008;"H1";"Q1";200801;"January";"Week 3";"Wednesday";"WorkDay";2008-01-13 00:00:00,000;2008-01-20 00:00:00,000
2008-01-17 00:00:00,000;2008;"H1";"Q1";200801;"January";"Week 3";"Thursday";"WorkDay";2008-01-13 00:00:00,000;2008-01-20 00:00:00,000
