GeographyKey;ContinentName;RegionCountryName
302;"North America";"United States"
366;"North America";"United States"
369;"North America";"United States"
370;"North America";"United States"
371;"North America";"United States"
372;"North America";"United States"
373;"North America";"United States"
374;"North America";"United States"
375;"North America";"United States"
376;"North America";"United States"
379;"North America";"United States"
380;"North America";"United States"
381;"North America";"United States"
382;"North America";"United States"
383;"North America";"United States"
386;"North America";"United States"
390;"North America";"United States"
392;"North America";"United States"
394;"North America";"United States"
396;"North America";"United States"
397;"North America";"United States"
401;"North America";"United States"
406;"North America";"United States"
408;"North America";"United States"
409;"North America";"United States"
411;"North America";"United States"
415;"North America";"United States"
417;"North America";"United States"
421;"North America";"United States"
422;"North America";"United States"
424;"North America";"United States"
430;"North America";"United States"
431;"North America";"United States"
432;"North America";"United States"
433;"North America";"United States"
434;"North America";"United States"
436;"North America";"United States"
438;"North America";"United States"
440;"North America";"United States"
441;"North America";"United States"
442;"North America";"United States"
443;"North America";"United States"
444;"North America";"United States"
445;"North America";"United States"
448;"North America";"United States"
450;"North America";"United States"
451;"North America";"United States"
452;"North America";"United States"
453;"North America";"United States"
455;"North America";"United States"
457;"North America";"United States"
458;"North America";"United States"
460;"North America";"United States"
461;"North America";"United States"
462;"North America";"United States"
463;"North America";"United States"
464;"North America";"United States"
465;"North America";"United States"
466;"North America";"United States"
469;"North America";"United States"
470;"North America";"United States"
472;"North America";"United States"
475;"North America";"United States"
479;"North America";"United States"
488;"North America";"United States"
494;"North America";"United States"
495;"North America";"United States"
500;"North America";"United States"
502;"North America";"United States"
505;"North America";"United States"
507;"North America";"United States"
508;"North America";"United States"
516;"North America";"United States"
520;"North America";"United States"
522;"North America";"United States"
523;"North America";"United States"
527;"North America";"United States"
535;"North America";"United States"
536;"North America";"United States"
537;"North America";"United States"
538;"North America";"United States"
546;"North America";"United States"
547;"North America";"United States"
551;"North America";"United States"
552;"North America";"United States"
559;"North America";"United States"
560;"North America";"United States"
566;"North America";"United States"
570;"North America";"United States"
573;"North America";"United States"
575;"North America";"United States"
577;"North America";"United States"
578;"North America";"United States"
579;"North America";"United States"
580;"North America";"United States"
581;"North America";"United States"
582;"North America";"United States"
583;"North America";"United States"
584;"North America";"United States"
593;"North America";"United States"
594;"North America";"United States"
597;"North America";"United States"
600;"North America";"United States"
601;"North America";"United States"
602;"North America";"United States"
603;"North America";"United States"
604;"North America";"United States"
605;"North America";"United States"
606;"North America";"United States"
607;"North America";"United States"
609;"North America";"United States"
610;"North America";"United States"
611;"North America";"United States"
612;"North America";"United States"
614;"North America";"United States"
617;"North America";"United States"
618;"North America";"United States"
619;"North America";"United States"
620;"North America";"United States"
625;"North America";"United States"
627;"North America";"United States"
631;"North America";"United States"
633;"North America";"United States"
642;"North America";"United States"
643;"North America";"United States"
644;"North America";"United States"
645;"North America";"United States"
652;"North America";"United States"
